time,longitude,latitude,FireMask,LST_Day_1km,LST_Night_1km,Emis_31,Emis_32,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,u_component_of_wind_10m,v_component_of_wind_10m,region
1634601600000,-123.1949580641512,39.20697057539652,4.0,,14025.0,248.5,248.0,935.0,1954.5,515.0,792.5,2272.0,1848.5,1105.0,283.7032839457194,285.37167676289874,289.66863377888996,0.2505194346110026,0.16117731730143228,0.18789100646972656,-0.8760471343994141,0.9856675863265991,1
1634688000000,-123.1949580641512,39.20697057539652,4.0,,13541.0,250.0,249.0,7235.0,7279.0,7121.5,7238.0,6131.5,2567.5,1136.5,284.5244948069255,285.4588445027669,289.3425649007161,0.3324349721272786,0.173248291015625,0.18790880839029947,-1.4966538747151692,1.9709041118621826,1
1634774400000,-123.1949580641512,39.20697057539652,4.0,14527.0,13916.0,247.0,248.0,1164.0,2158.0,1143.0,1137.5,2425.0,1698.0,804.5,286.2518393198649,286.16497166951496,289.0940691630046,0.33516502380371094,0.19821929931640625,0.18803850809733072,-1.447989781697591,1.0230882167816162,1
1634860800000,-123.1949580641512,39.20697057539652,4.0,,,,,983.0,1611.0,1071.0,964.5,1708.5,1316.5,788.0,286.4226582845052,286.92605145772296,288.9748840332031,0.3978830973307292,0.2971305847167969,0.18854777018229166,0.6143449147542318,0.734309196472168,1
1634947200000,-123.1949580641512,39.20697057539652,4.0,,,,,8574.0,8416.0,8513.5,8501.5,5602.0,2349.0,1352.5,284.8295364379883,286.1881624857585,288.8324966430664,0.3749237060546875,0.3482494354248047,0.19079208374023438,-0.08190727233886719,0.795054038365682,1
1635033600000,-123.1949580641512,39.20697057539652,4.0,,,,,10293.0,9990.5,10601.5,10351.0,7620.5,4181.0,2751.5,285.2444267272949,285.7900282541911,288.60146077473956,0.4267934163411458,0.40014902750651044,0.2133763631184896,-0.2257378896077474,1.82960041364034,1
1635120000000,-123.1949580641512,39.20697057539652,4.0,,,,,6223.5,6174.5,6255.0,6249.5,4483.0,1354.0,506.5,284.40054512023926,285.4590326944987,288.37831687927246,0.4253501892089844,0.4210866292317708,0.2753651936848958,1.1601295471191406,0.6087226867675781,1
1635206400000,-123.1949580641512,39.20697057539652,4.0,,,,,6390.0,6477.5,6676.0,6471.5,5734.5,4179.0,2431.0,283.238099416097,284.73973019917804,288.1015402475993,0.4056275685628255,0.4023488362630208,0.29040972391764325,-0.0861829121907552,0.5772655407587687,1
1635292800000,-123.1949580641512,39.20697057539652,4.0,,13844.0,248.5,247.5,1741.5,2556.5,1514.5,1742.5,2653.0,2396.0,1728.5,285.4550724029541,285.057222366333,287.8084576924642,0.40646107991536456,0.3964792887369792,0.2963797251383464,-0.20380020141601562,-0.15179125467936197,1
1635379200000,-123.1949580641512,39.20697057539652,4.0,14809.0,14300.5,248.5,247.5,681.0,1421.0,376.0,629.5,1596.0,1368.0,791.0,287.1285088857015,286.7199586232503,287.7755133310954,0.3851693471272786,0.38750457763671875,0.300717035929362,-0.09750938415527344,-0.606756846110026,1
